SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;County;Comments;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;nome_rete;annoInizio;annoFine;tipo
96;Montecatini V. Cecina;TOS01002131;OD:TOS01002131;43,387148;10,743084;344;Italy;Toscana;Quota ricavata da dem;2006;2015;2008;2015;2008;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
98;Canneto;TOS01002171;OD:TOS01002171;43,202337;10,739307;310;Italy;Toscana;Quota ricavata da dem;2006;2015;2008;2015;2008;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
101;Riparbella;TOS01002231;OD:TOS01002231;43,367253;10,603037;241;Italy;Toscana;Quota ricavata da dem;2006;2015;2008;2015;2008;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
106;Monterotondo;TOS01002371;OD:TOS01002371;43,150218;10,858556;605;Italy;Toscana;Quota ricavata da dem;1996;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
117;Montevarchi;TOS01004571;OD:TOS01004571;43,542615;11,567136;145;Italy;Toscana;Quota ricavata da dem;1992;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
121;S. Piero a Sieve-Sieve;TOS01004621;OD:TOS01004621;43,966990;11,329263;216;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
137;Calenzano;TOS01004784;OD:TOS01004784;43,870227;11,156618;67;Italy;Toscana;Quota ricavata da dem;2000;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1965;2020;site2
148;Certaldo;TOS01004967;OD:TOS01004967;43,546531;11,035636;74;Italy;Toscana;Quota ricavata da dem;2004;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
149;Castelfiorentino;TOS01004971;OD:TOS01004971;43,604146;10,970410;66;Italy;Toscana;Quota ricavata da dem;2000;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
153;Fornacino;TOS01005005;OD:TOS01005005;43,633007;10,850613;66;Italy;Toscana;Quota ricavata da dem;1994;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
160;Pontedera;TOS01005181;OD:TOS01005181;43,665334;10,631241;17;Italy;Toscana;Quota ricavata da dem;1996;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
162;S. Giovanni alla Vena valle;TOS01005191;OD:TOS01005191;43,684400;10,585252;13;Italy;Toscana;Quota ricavata da dem;2000;2015;2008;2015;2008;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
169;Puretta;TOS01005373;OD:TOS01005373;43,304665;10,930118;142;Italy;Toscana;Quota ricavata da dem;2000;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1990;2020;site2
181;Vecchia SS Aurelia;TOS01005489;OD:TOS01005489;43,020657;10,614934;14;Italy;Toscana;Quota ricavata da dem;2006;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1974;2020;site2
191;Livorno Mareografo;TOS01005981;OD:TOS01005981;43,546256;10,299632;2;Italy;Toscana;Quota ricavata da dem;2003;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
198;Retignano;TOS02000079;OD:TOS02000079;44,005026;10,271503;372;Italy;Toscana;Quota ricavata da dem;1996;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
210;Villacollemandina;TOS02000203;OD:TOS02000203;44,160529;10,386305;535;Italy;Toscana;Quota ricavata da dem;1938;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
214;Campagrina;TOS02000241;OD:TOS02000241;44,059003;10,259342;1020;Italy;Toscana;Quota ricavata da dem;1996;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
216;Fornovolasco;TOS02000281;OD:TOS02000281;44,028957;10,360547;539;Italy;Toscana;Quota ricavata da dem;1996;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
217;Gallicano;TOS02000299;OD:TOS02000299;44,063030;10,439640;194;Italy;Toscana;Quota ricavata da dem;1996;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
221;Boscolungo;TOS02000351;OD:TOS02000351;44,139094;10,673540;1374;Italy;Toscana;Quota ricavata da dem;1996;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
222;Melo;TOS02000359;OD:TOS02000359;44,131362;10,743544;1088;Italy;Toscana;Quota ricavata da dem;1952;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
225;Selva dei Porci;TOS02000401;OD:TOS02000401;44,077198;10,813551;923;Italy;Toscana;Quota ricavata da dem;1996;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
226;Monte Oppio;TOS02000421;OD:TOS02000421;44,042468;10,836892;835;Italy;Toscana;Quota ricavata da dem;1996;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1988;2020;site2
227;S. Marcello Pistoiese;TOS02000431;OD:TOS02000431;44,055275;10,788086;610;Italy;Toscana;Quota ricavata da dem;1996;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
228;Prunetta;TOS02000441;OD:TOS02000441;44,008489;10,803970;1012;Italy;Toscana;Quota ricavata da dem;1996;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
239;Ponte Tavole;TOS02004045;OD:TOS02004045;43,972565;10,184830;7;Italy;Toscana;Quota ricavata da dem;NA;NA;1998;2015;1998;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
241;Camaiore;TOS02004059;OD:TOS02004059;43,927626;10,275355;94;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1990;2020;site2
242;Torre del Lago;TOS02004081;OD:TOS02004081;43,832462;10,307692;2;Italy;Toscana;Quota ricavata da dem;NA;NA;2013;2013;2013;2013;NESSUNA INFORMAZIONE RETE;1961;2020;site2
244;Viareggio 1;TOS02004091;OD:TOS02004091;43,867634;10,259289;2;Italy;Toscana;Quota ricavata da dem;NA;NA;2013;2013;2013;2013;NESSUNA INFORMAZIONE RETE;1995;2020;site2
250;Casotti di Cutigliano;TOS02004215;OD:TOS02004215;44,098219;10,751581;640;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
253;Borgo a Mozzano;TOS02004271;OD:TOS02004271;43,979877;10,551510;245;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
254;Piaggione;TOS02004284;OD:TOS02004284;43,929399;10,514410;156;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1965;2020;site2
255;Mutigliano;TOS02004286;OD:TOS02004286;43,881763;10,484186;40;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
258;Ripafratta;TOS02004311;OD:TOS02004311;43,821073;10,414922;19;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1971;2020;site2
261;Vecchiano;TOS02004365;OD:TOS02004365;43,780526;10,398898;14;Italy;Toscana;Quota ricavata da dem;NA;NA;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1997;2020;site2
289;Ponte Tura;TOS03002961;OD:TOS03002961;42,764698;11,166253;16;Italy;Toscana;Quota ricavata da dem;NA;NA;2013;2015;2013;2015;NESSUNA INFORMAZIONE RETE;1964;2020;site2
291;Roccalbegna;TOS03003019;OD:TOS03003019;42,788562;11,511635;600;Italy;Toscana;Quota ricavata da dem;2002;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
294;Torricelle;TOS03003063;OD:TOS03003063;42,642219;11,425443;158;Italy;Toscana;Quota ricavata da dem;2002;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
